C1	52.17	46.05	270.00	10uF	C0805
LED1	2.00	54.00	90.00		SML1206
LED10	56.00	54.00	90.00		SML1206
LED11	62.00	54.00	90.00		SML1206
LED12	68.00	54.00	90.00		SML1206
LED13	74.00	54.00	90.00		SML1206
LED14	80.00	54.00	90.00		SML1206
LED15	86.00	54.00	90.00		SML1206
LED16	92.00	54.00	90.00		SML1206
LED17	98.00	54.00	90.00		SML1206
LED2	8.00	54.00	90.00		SML1206
LED3	14.00	54.00	90.00		SML1206
LED4	20.00	54.00	90.00		SML1206
LED5	26.00	54.00	90.00		SML1206
LED6	32.00	54.00	90.00		SML1206
LED7	38.00	54.00	90.00		SML1206
LED8	44.00	54.00	90.00		SML1206
LED9	50.00	54.00	90.00		SML1206
Q1	5.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q10	59.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q11	65.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q12	71.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q13	77.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q14	83.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q15	89.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q16	95.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q2	11.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q3	17.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q4	23.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q5	29.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q6	35.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q7	41.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q8	47.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
Q9	53.00	54.00	0.00	20mA/30V	PT17-21C-L41-TR8
